comments,topic,sentiment,type
The loan officer made everything so smooth I m glad to be a member and look forward to a relationship in future ,glad member,POSITIVE,appreciation
I would definitely refer friends and family to Dugood The person help me was patient and explained all that I didn t understand ,dugood person,POSITIVE,appreciation
DuGood has extremely friendly staff The experience was pleasant and my trip to the bank was quick,"friendly staff,pleasant trip",POSITIVE,appreciation
Ronda Hamilton and the Orange Branch are always pleasant to do business Ronda has always taken care of our needs above and beyond her duties ,pleasant business,POSITIVE,appreciation
Excellent friendly and professional Service is swift and atmosphere was calm and welcoming The only problem I ve had is checking my balance Thank you DuGood Michael Edmond Swisher Satisfied Customer,"professional service,satisfied customer",POSITIVE,appreciation
I m really excited about becoming a new member at DuGood Credit union The staff where incredibly complustous They took their time with me I enjoyed having two Madison s Wow where they awesome I look forward to a bright financial long standing future with Dugood,new member,POSITIVE,appreciation
Sharon was my loan officer and she was amazing Went over and above on communication and answered every question on the spot or in a timely manner DuGood has always been good to my family and I but this experience set them apart from other institutions Thanks Sharon and you will be my first call on the next Vehicle or loan ,"timely manner,good family,next vehicle",POSITIVE,information
My DuGood Federal credit union Bank is the best Bank for me They do a very good job taking care of my account Then keep me informed what s going on with my account they re very friendly they are very accurate they let me know if anything is going wrong and take care of my account I am very glad that I have DuGood Federal credit union Bank as my Bank ,"best bank,good job",POSITIVE,appreciation
DuGood is the Credit Union to use The loan processors are amazing and helpful I used another well known credit Union but I so prefer DuGood before any others The best credit Union around ,"amazing helpful,dugood others,best credit",POSITIVE,appreciation
Had a very pleasant experience with du good,pleasant experience,POSITIVE,appreciation
Love DuGood have been them with over years and loan process is great experience ,"dugood year,great experience",POSITIVE,appreciation
Great Staff Very welcoming ,great staff,POSITIVE,appreciation
Enjoyed my experience the day I was there the officer and cashiers were all very friendly Glad some still remember my name and we can have fun Happy Holidays to All and Thank each one ,"friendly glad,happy holiday",POSITIVE,appreciation
The lady was wonderful in setting up my checking account for me Informative and covered all the bases on my benefits perks and any cost She was so personable i felt like i had known her for a long time it was enjoyable and made me felt good upon leaving ,"wonderful setting,long time",POSITIVE,appreciation
Very helpful and polite people Will go above and beyond to keep their customers happy Thank you DuGood for all that you do for us ,"polite people,dugood u",POSITIVE,appreciation
I went into DuGood Credit union to open an account and received excellent service and was treated like a valuable customer,"dugood credit,open account,excellent service,valuable customer",POSITIVE,information
Dugood CU is always friendly They try to accommodate their members needs ,friendly try,POSITIVE,appreciation
KRISTEN DANIELS HELPED US SO MUCH MADE IT SO EASY WITH HER SHE IS JUST THE BEST SO FRIENDLY I HAD TO GO TO HER BRANCH JUST TO MEET HER SHE S SUCH A DOLL NEED TO MAKE SURE YOU KEEP HER I SO APPRECIATE EVERYTHING SHE DID THANK YOU KRISTIEN,friendly go,POSITIVE,appreciation
Quick and easy to get a personal loan Thank you for your assistance ,personal loan,POSITIVE,information
Always helpful from opening new checking and savings accounts to getting a loan Organized quick easy to talk to Very impressed ,"new checking,easy talk",POSITIVE,information
They were so friendly and helpful during an extremely stressful moment ,stressful moment,NEGATIVE,complaint
Jessica was real professional She took her time with me and my wife She was also real knowledgeable and had answers for all of our questions ,knowledgeable answer,POSITIVE,information
I wanted to start building my credit and Du Good has made that relatively easy It was easy applying online contacted by a representative of Du Good and she was amazing and so helpful I never had to go into the bank and I am so happy with my experience I recommend them to everyone Great bank to work with ,"happy experience,great bank",POSITIVE,appreciation
Walking into the Credit Union in Beaumont I received excellent service setting up a checking and savings account with Isaiah Peacock The process was quick and I walked out with a working debit card I had transferred funds to ,excellent service,POSITIVE,information
Mindy at the Mont Belvieu location provided excellent service ,excellent service,POSITIVE,information
The staff from DuGood are great Been banking there for at least years Always awesome The loan specialist was great to work with and made refinancing our vehicles very pleasant ,"great banking,least year,awesome loan,great work",POSITIVE,appreciation
Thank you Perfect service ,perfect service,POSITIVE,information
I was extremely happy with the way I was greeted upon my first visit to open a savings and checking account Darlene Ford took the time with me to answer my questions and fully explained everything I left the facility feeling confident I chose DuGood ,"happy way,first visit,open saving",POSITIVE,appreciation
The representative that helped me open my accounts was so pleasant to work with She was extremely helpful answering all of my questions and knew her job well Enjoyed so much my experience at DuGood Credit Union ,"pleasant work,much experience,dugood credit",POSITIVE,appreciation
Was met with responsible people and eager to help no matter what it was Very efficient a friendly people who had all the ans ,"responsible people,friendly people",POSITIVE,appreciation
I came in to open an account I received quick and friendly service Definitely recommending DuGood to my friends family ,"open account,friendly service,dugood friend",POSITIVE,information
Great Service ,great service,POSITIVE,information
I got a personal loan I applied over the app on my phone I got the information that my loan was accepted I let them know what time I was able to come sign the papers The paperwork was ready by the time I got there to the time i left was about minutes ,"personal loan,ready time",POSITIVE,information
Very helpful again once again i was out of town working made a phone call and everything was done with know problems ,"helpful town,know problem",POSITIVE,information
Was looking at getting a loan and the loan officer recommended getting a Christmas loan for a better rate which I did and got the loan I needed ,better rate,POSITIVE,appreciation
Working with DuGood is always easy and with quick results ,quick result,POSITIVE,information
Express loan great way the people helped me I think of nothing but all good and will let other people know how great my bank is thank you,"great way,great bank",POSITIVE,appreciation
Thank you Kristin Daniels for all you did in helping me get a loan Was much needed Du Good Federal credit union is a very friendly bank has always helped me when needed So Thank you very much ,"federal credit,friendly bank",POSITIVE,appreciation
DuGood is all we have to do is call and make a request and the team is promptly at work They always come through for us Great Job,great job,POSITIVE,appreciation
Absolutely love them They are so helpful and have such great rates ,great rate,POSITIVE,appreciation
Tara is always so helpful and awesome to work with ,awesome work,POSITIVE,appreciation
I recently purchased a Golf Cart I wanted to finance it I called and handled everything on the phone It took less than hours to start and finish the loan process I was able to sign everything online As a working couple my and husband and I loved the Flexibility of this process When do not finance anything unless it is with DuGood CU and this is why Monty and Carrie Vincent,monty carrie,POSITIVE,appreciation
Brenda Frank s went above up and beyond to help me get the loan that I needed to buy another four wheeler She is by for the best person I have ever dealt with when it comes to a loan ,best person,POSITIVE,appreciation
It was helpful thank you,helpful thank,POSITIVE,appreciation
Dugood FCU is there for me in hard times and good times Loan department is very knowledgeable about loan information Representatives are very polite and don t waste time with services Dugood should consider expanding their great business Keep up the good work ,"hard time,good time,knowledgeable loan,polite waste,great business,good work",POSITIVE,information
You won t get this kind of service at a bank I worked with Sara N this week to finance a brand new UTV Sara made the experience easy quick and painless Also the current rates are the best in the area for a recreation vehicle purchase Thanks DuGood ,"kind service,quick painless,current rate,best area",POSITIVE,information
Excellent Branch Great on line Protectors Very Knowledgeable about any situation Great People Great Environment,"excellent branch,great line,knowledgeable situation,great people,great environment",POSITIVE,information
I can never imagine using another source of financial resource the dugood I have everything I ve ever dreamed of and I owe it to the staff at dugood credit union They picked me up when my credit wasn t so great and took me too a while other level in credit worthiness They are like family to me ,financial resource,POSITIVE,information
Deanna Cudd was excellent and easy to work with Give that woman a raise ,easy work,POSITIVE,appreciation
I refinanced my car and bought a new car I received great rates and the customer service provided was outstanding ,"new car,great rate",POSITIVE,appreciation
The staff were excellent Customer service is spot on ,excellent customer,POSITIVE,appreciation
Great experience I applied online and heard back from Julie right away A few more steps and my loan was done and funded I highly recommend using DuGood for all your financial needs ,"great experience,away step,financial need",POSITIVE,appreciation
Looking for a great mortgage Lender You have come to the right place Sandy Ferrell with the Mortgage Department was exceptional From the very beginning she was very open and helpful Answered every question we had and helped us understand what we didn t know Her customer service went above and beyond We are so thankful we went with her and Dugood They made the mortgage process easier than others She shows she cares for her clients and loves her job ,"great mortgage,right place,easier others",POSITIVE,appreciation
Easy to open account I went in person was waited on immediately Took very little time left with everything I needed,"open account,little time",POSITIVE,information
I opened a new checking and savings account Friendly and courteous staff Over all great experience ,"new checking,courteous staff,great experience",POSITIVE,appreciation
I ve been a member for awhile and never needed a loan Then decided out of the blue to buy a car Talked to the dealership and just wondered what my rate would be at DuGood I called Kristin Daniels at the DuGood lending center off of N Major in Beaumont and she was fabulous She had everything together and communicated well with the dealership I have a new car at a super low rate ,"blue buy,major beaumont,new car,low rate",NEGATIVE,information
I called and the lady helped me to pay off my express loan and take care of a balance and apply for anew express loan She was very polite and considerate and very knowledgeable and helpful I believe she did an amazing job ,amazing job,POSITIVE,appreciation
Carrie is awesome She is very professional friendly and treats you as family Very happy with our experience ,"friendly treat,happy experience",POSITIVE,appreciation
They were very helpful and greeted me as soon as I walked in I went in to only open an account and they were so fast and helpful I know I made the right choice when I chose to go to DuGood because of how helpful and patient they were ,"open account,helpful know,right choice,helpful patient",POSITIVE,information
This was my first time banking at DuGood Credit Union and it was a fantastic experience I was greeted by a friendly representative the moment I walked through the doors The greeter was friendly and helpful I was directed to a waiting area that was both inviting and comfortable There screen in the waiting area had helpful information that both answered my questions and peeked my interest in some of the available services I waited a very brief time before being escorted to visit with a personal banker She was friendly and helpful I was able to achieve all the reasons for the visit and a few more She explained everything and gave me a wonderful overview of their services I would highly recommend credit union to others ,"first time,fantastic experience,representative moment,comfortable screen,helpful information,available service,brief time,personal banker,achieve reason,wonderful overview",POSITIVE,information
Fast and friendly As soon as the door opens your greeted with a smile and a Can I help You from the employees In no time you are helped with your business and you are on your way satisfied You conduct business how it should be done easy ,"soon door,satisfied conduct",POSITIVE,appreciation
Great people super helpful and knowledgeable ,great people,POSITIVE,appreciation
I tried to do an online application it stopped on pct So I called the branch and they told me to come in it will be no problem to finish it I asks how long would it take the nice lady who was talking to me made it so easy was so helpful informative telling me it would only take min I told her it sounded good because I had to get bk to work I agreed to come in I walked in being greeted by the entire front lobby of staff members with an option to choose which one would help me I can t remember her name but she was in the last window to the right She was so nice kind explaining everything as she went along communicating with the neighboring teller for assistance to make sure everything was right They both called on a rd member who helped the finalize everything in under min So amazing they were so fast thorough telling me about the nice incentives and perks other details I had never imagined your bank offered I got everything wrapped up very quick had enough time to get a money order thanked them graciously for helping me handle some very important needed business I was on my way made it bk to work at Parkdale Mall well ahead of time GOD bless you all for having a lovely place of business and matching staff ,"online application,nice lady,informative telling,good get,front lobby,last window,nice kind,nice incentive,enough time,ahead time,lovely place",POSITIVE,information
Great help with a refinance on auto loans and great customer service,"great help,great customer",POSITIVE,appreciation
Very friendly and helpful people Will continue to do business with them ,helpful people,POSITIVE,information
The Nederland Texas branch was wonderful Very accommodating Very polite and respectful Wonderful people to bank with,wonderful people,POSITIVE,appreciation
LaDana was so friendly and helpful Looking forward to my new membership ,new membership,POSITIVE,appreciation
I was very pleased with the the professionalism of DuGood Employee Deanna Everything went very smoothly with no problems when I applied for a loan for my pick up Thank DuGood FCU for everything I have a personal and business account with DuGood FCU and have been very pleased with my experience doing business with this credit union Thanks to all ,"pleased professionalism,personal business,pleased experience",POSITIVE,appreciation
I wanted to open a new account I went inside and was greeted right away When I spoke with someone I was seated right away and received fast and friendly service ,"new account,friendly service",POSITIVE,information
A little disappointed when I applied for a dollar loan and was turned don t but offered me because of my credit score After all the time Covid pandemic is happening I never missed paying my loan or credit card payments Never Not one time And this is the way dugood treats a member for making all payments This may be my last time asking for a loan from dugood I am a member that has paid every payment and none of the employees have had to call and ask for loan payments Stop judging your members but there credit score and take into consideration how the member pays there loans and cc payments Again very dissatisfied,"applied dollar,dugood treat",POSITIVE,appreciation
Excellent service wesome customer service Great first time account holder experience Thank you,"excellent service,first time",POSITIVE,appreciation
It was very easy to reference my truck done it in a day all was done by phone very helpful looking forward to financing atv later on,easy reference,POSITIVE,information
Yall are the best Our loan officer Carrie took care of everything we needed Everyone is kind and courteous So glad we became members ,best loan,POSITIVE,information
Tara was very professional and answered all my questions She was a pleasure to work with DuGood is a great Credit Union been with them for years ,great credit,POSITIVE,appreciation
Recently had a fraudulent transaction appear on one of my accounts I spoke with the most helpful and patient respresentatives Kayla Hernandez She guided me through this whole horrible ordeal and was very professional and helpful DuGood should try to figure out how to clone this one she is for sure a treasure Thank you Kayla for making a very stressful situation easier to handle Many blessings to you ,"fraudulent transaction,helpful patient,horrible ordeal,helpful dugood,sure treasure,stressful situation,many blessing",POSITIVE,information
Everything went very smoothly and quickly Exceeded my expectations Thank you for the great service ,great service,POSITIVE,information
Switching banks can be a hassle and is time consuming but their member services team made it short and sweet Every person was knowledgeable and kind I am so happy to be at a local credit union that is conveniently located blocks from my house ,local credit,POSITIVE,appreciation
Very good customer service,good customer,POSITIVE,appreciation
Audrey was very helpful getting our loan processed in a timely manner Another DuGood Great experience ,great experience,POSITIVE,appreciation
I was very pleased and happy to do business at Dogood,happy business,POSITIVE,appreciation
I deal with Mrs Tammy Simmons at vidor branch She is awesome Answers all my questions is so helpful,awesome answer,POSITIVE,appreciation
Thank you for helping us with our loan you were very nice and very professional and you called me with update on the loan and thats what i like Keep up the good work Mr Delgado,good work,POSITIVE,appreciation
I was applying for a Line of credit loan and Julie Nguyen is the one helping me and she is very helpful and patience on me cause I don t understand right away the process it toke me awhile to figure out like the signing of the papers and Julie help me through it when I got the loan I was expecting that it will deposit right away to my checking account but it didn t happen so I called and emailed Julie so many times so finally she told me that I m the one who can transfer to my account She said it before but what I understood that I have to go to the bank and transfer it but finally I got it I m yrs old and I only have less knowledge about computer but thanks to Julie Nguyen she s a lot of help thanks again Julie ,"helpful patience,away process,awhile figure,many time",POSITIVE,appreciation
The service was exceptional and the employees were very helpful and friendly,exceptional employee,POSITIVE,appreciation
Quick friendly and got me a much better interest rate So happy I used Dugood ,better interest,POSITIVE,appreciation
Loan Officer knowledgeable and easy to work with,easy work,POSITIVE,appreciation
An excellent and simplified credit union helped me when I needed it most and without much bureaucracy Personalized quiet and easy service ,"simplified credit,much bureaucracy,easy service",NEGATIVE,information
Everyone i worked with was very helpfil answered all my questions and kept me informed throughout the whole process It was a pleasant experience ,"whole process,pleasant experience",POSITIVE,appreciation
My Daughter told me to open a Account with Du Good Which I did and my opening a Savings and checking account The Lady who took care of me was very friendly and knowledgeable and professional She explained everything Do Good has to offer For me at was a very good day and I would definitely advise anyone who needs a Bank I would suggest DoGoodThank you Anita Lester,"open account,good opening,good offer,good day",POSITIVE,information
Staff was amazing and very sweet and professional She also answered all my questions graceful on top of my nephew interrupted her She s a super star and she gave me all the information I need to have a successful account with Dugood Federal Credit Union I m satisfied and happy,"sweet professional,top nephew,super star,successful account,federal credit",POSITIVE,information
I am so pleased with Tammy Christopher at the Jasper branch She s always helpful kind and so efficient Anytime I have had to call Dugood the customer service has been excellent ,dugood customer,POSITIVE,information
Went into the Vidor location to open an account The process was very easy and quick ,open account,POSITIVE,information
Dugood in Pr Neches led by Sylvia Harrell have logged so much time on my account change security recovery I cannot thank them enough ,much time,POSITIVE,appreciation
Very nice people I got everything set up like I need Look forward to doing business with DuGood Credit Union ,nice people,POSITIVE,appreciation
Application fir auto loan was approved quickly A loan advisor reached out to me quickly and ledMe to the closing process Received a great rate and great service ,"great rate,great service",POSITIVE,appreciation
I recently opened up a savings account at DuGood Credit Union Everyone in the office went above and beyond to make me feel welcome They were so helpful I m so happy I chose to open up a new account Gayle,new account,POSITIVE,information
I applied online for an account LaDana reached out to me and helped me through the process LaDana is very professional and has the best personality I am happy to be a member of Dugood and look forward to our years to come with our new credit union ,"online account,best personality,happy member,dugood look,new credit",POSITIVE,information
Outstanding customer service every time The staff always has solutions and not the same We Cant Do that answers that you get at other banks ,outstanding customer,POSITIVE,information
Soon as i walked in they were friendly I wanted to join a credit union after dealing with regular banks so long I m really blessed I found Dugood Credit Union it s been a great experience ever since ,"regular bank,dugood credit,great experience",POSITIVE,appreciation
Torey Johnson was a professional knowledgeable and efficient helping hand in my recent loan with Dugood She simplified the process and make the remote electronic process seamless I appreciate folks who care about their jobs and care about doing them well I appreciate you Torey for that Thank You S Perez,"recent loan,simplified process,electronic process",NEGATIVE,information
DuGood is a wonderful credit union I recently needed a small loan and they expedited it in one day The process was quick efficient snd so simple The loan officer was wonderful and was very gracious and kind They are all about customer service here which is becoming a rarity in today s society I highly recommend DuGood to anyone who seeks quality customer service and excellent treatment ,"wonderful credit,small loan,simple loan,gracious kind,excellent treatment",POSITIVE,appreciation
My husband and I were very satisfied with DuGood Credit Union when we transferred our truck note from Chevrolet The percentage rate was so much better But I have to say the friendliness and helpfulness of Katrina was over the top She was exceptional We would recommend DuGood to anyone Go by and ask for Katrina ,"dugood credit,helpfulness katrina",POSITIVE,appreciation
Very helpful and very knowledgeable of different accounts ,different account,POSITIVE,appreciation
I came to finance an auto loan and connected with Carrie She was so helpful and informative The entire process was painless I ve already recommended this bank to all of my friends ,entire process,POSITIVE,information
I was looking for another bank that can provide the options that I m looking for and DuGood was the place to be I was able to do everything online since I am working shift work and have not been able to go into a branch yet The agent that helped me was Kayla Hernandez She was very knowledgeable with everything and had an answer for all of my questions I look forward to future banking with yall ,"dugood place,future banking",POSITIVE,information
I had a great experience working with Dugood credit Union Mrs Audrey done a fantastic job helping me get my car refinanced and getting a personal loan without being pushy and being very patient I will definitely recommend them,"great experience,fantastic job,personal loan,pushy patient",POSITIVE,appreciation
I went to the Grand Opening in Mt Belvieu to join I was greeted by Courtney and most everyone else in the building Courtney answered all my questions and made me feel right at home I will be back ,"grand opening,right home",POSITIVE,appreciation
Great service fast turnaround friendly people,"great service,fast turnaround,friendly people",POSITIVE,appreciation
Carrie Brown took all the proper steps to make sure she could help me save money on refinancing my trk I went from a interest rate to a interest rate I m very thankful ,proper step,POSITIVE,appreciation
Torey did amazing Everything was quick easy and informative She went above and beyond looking for loans that would help our family the most Dugood has amazing rates and we are excited to continue using them ,amazing rate,POSITIVE,information
Great service Very efficient with the auto refinance process Great location ,"great service,efficient auto,great location",POSITIVE,appreciation
This has been the best and easiest experience we have ever had Elizabeth is awesome ,easiest experience,POSITIVE,appreciation
I always choose to transact my business with DuGood because of the ease and convenience I am always elated about the excellent customer service I receive I recommend DuGood to anyone searching for financial support and services that are top notch ,"dugood ease,excellent customer,financial support",POSITIVE,appreciation
Great service and friendly staff Mindy Neail is super ,"great service,friendly staff,mindy neail",POSITIVE,appreciation
DuGood a great place to do business with just a phone call They knew what I needed and how to get me there when buying my new truck I will recommend to everyone Thanks Tory for an awesome experience with professional services Stars,"great place,new truck,awesome experience,professional service",POSITIVE,appreciation
I applied for a personal loan and received it very easy and hassel free,"personal loan,easy hassel",POSITIVE,information
this bank company has every gud service from them they are execlent,gud service,NEGATIVE,appreciation
The experience was excellent The entire process was very smooth and required very little effort on my part The staff member that assisted me was considerate of my time ,"entire process,little effort",NEGATIVE,information
Handled very quickly and professionally Very helpful throughout the whole process ,whole process,POSITIVE,information
We recently became a Dugood member and I have been nothing but pleased in all my interactions Monica James in the Dowlen Beaumont location has went above and beyond my expectations She has answered every call and been nothing but friendly in so of our conversations keep up the good withI recommend Dugood Federal Credit Union to anyone Thanks again for being the best,"dugood member,pleased interaction,friendly conversation,good withi,federal credit",POSITIVE,information
Great customer service and very help full in all my needs Tim Baker,"great customer,full need",POSITIVE,appreciation
Great response time Very helpful,great response,POSITIVE,appreciation
I ve been with DuGood for about a year now and absolutely love them I was on the phone with Audrey yesterday about refinancing my car It was fast and I was able to text her when we got off the phone also I didn t have to leave the house at all signed all the documents on the phone as well ,"dugood year,able text",POSITIVE,information
Fast friendly service Painless loan process ,"friendly service,painless loan",POSITIVE,appreciation
Great service rendered thank you for your easy to operate services,"great service,easy operate",POSITIVE,appreciation
Good bank Worth trusty Thank you DuGood for helping us through any and every process ,good bank,POSITIVE,appreciation
Was very professional and answered every question we had Everything was handled in a timely manner Paul and Debora Masters,timely manner,POSITIVE,information
I have been a member of DuGood for a very long time I stay because of the great service they provide I recently applied for a loan and Monica was a great help She answered all of my questions and was very prompt when she needed to get back to me I would definitely recommend DuGood And thanks again Monica for all of your help ,"long time,great service,dugood thanks",POSITIVE,appreciation
ABSOLUTELY love DuGood I refer them to everyone I can Thank you DuGood for helping us through any and every process ,dugood refer,NEGATIVE,information
very helpful people They are helping me switch banking institutions and refinancing an automobile Great service ,"helpful people,great service",POSITIVE,information
Great customer service on every visit Love banking with DuGood ,great customer,POSITIVE,appreciation
Great customer service Completed two loans with Dugood and both were a very easy process ,"great customer,easy process",POSITIVE,appreciation
I honestly have to say that this was the easiest loan process I have ever been involved with not to mention it was all done on line and very convenient The loan processor kept me up to date with every single aspect regarding the loan and my loan was complete within days after my application was received I highly recommend ,"easiest loan,convenient loan,single aspect",NEGATIVE,information
Excellent service Enjoyed doing business with Tammy Simmons Vidor branch ,excellent service,POSITIVE,information
Great job keeping me updated and how to help with my other loans ,great job,POSITIVE,appreciation
The refinance of my home was a very smooth process I had dreaded getting started but with the help of Sandra Flanigan and her Team they made the process go very smooth from the beginning to the end and I appreciate all of their help Much appreciated ,smooth process,POSITIVE,appreciation
Audrey Hinson made my auto refinance easy as it could be she helped me through the whole process ,whole process,POSITIVE,information
Madison told Me that she was kinda new but she gave Me a wonderful customer service experience made Me happy that I chose DuGood ,wonderful customer,POSITIVE,appreciation
Always friendly and very helpful Wouldn t want to bank anywhere else ,helpful want,POSITIVE,appreciation
Brenda was outstanding she worked really hard on our refinance she went above and beyond helping us,hard refinance,NEGATIVE,information
DuGood helped us purchase our retirement home They were very helpful and kind Sandra and Rebecca were always available when we needed them ,helpful kind,POSITIVE,appreciation
Torey was my rep that helped me with my auto purchase She was very polite and tentative throughout the entire process She went above and beyond to ensure all my needs and concerns were addressed ,"polite tentative,entire process",POSITIVE,complaint
Ms Tara is so nice and helpful we appreciate her ,helpful appreciate,POSITIVE,appreciation
DuGood continues to exceed our expectations Darlene was extremely efficient in helping my son obtain an auto loan This was his first experience in dealing with loans and buying a car from a dealer but it was definitely a positive experience for him The dealer also commented on the fact that Darlene and DuGood FCU were the most helpful that he had seen He commented that it s usually hard to get the banker on the phone but Darlene was at our disposal and walked us through each step until the deal went through and all paperwork was completed ,"first experience,positive experience",POSITIVE,appreciation
Always great service and quick to help when needed,"great service,quick help",POSITIVE,appreciation
They was kind and very helpful Took care of everything I needed and more Friendly i would recommend other s Good to see smiling friendly faces stars in my book ,friendly face,POSITIVE,appreciation
My experience with DuGood was wonderful They provided quick and friendly service and helped me with all of my questions ,friendly service,POSITIVE,information
The young lady that helped me was very knowledgeable It didn t take long to take care of my business and I was on my way Thanks ,young lady,POSITIVE,appreciation
Everyone that works at the local Vidor residence is very personable and friendly ,local vidor,POSITIVE,appreciation
We were greeted immediately upon arrival and were handled professionally Your new facility was very clean and organized ,new facility,POSITIVE,appreciation
Jennifer made the visit personal and pleasant And sooooo easy ,pleasant sooooo,POSITIVE,appreciation
Easiest loan process I have ever went through ,easiest loan,POSITIVE,appreciation
Great experience Employees were very kind and helpful ,great experience,POSITIVE,appreciation
DuGood personnel are the most courteous and efficient people that has been my pleasure to be associated with Thank you ,"dugood personnel,efficient people",POSITIVE,appreciation
Brenda Frank helped me be able to refinance my truck and also take care of the taxes for the truck that I bought out of state ,able refinance,POSITIVE,appreciation
The process is very simple and all the loan officers were very helpful and eager to satisfy me and get the job done,"simple loan,eager satisfy",POSITIVE,appreciation
Yes I give DuGood an excellent rating because of their experience and being very professional and friendly and helpful and outstanding Thank you for a great experience and taking care of our business needs ,"excellent rating,great experience",POSITIVE,appreciation
Wonderful customer service and they take good care of their patrons Highly recommended,"wonderful customer,good care",POSITIVE,appreciation
Everything was super easy and fast Great customer service,great customer,POSITIVE,appreciation
Isaiah Peacock helped me with my Loan process to get a new Auto Very efficient quickly handled my request Very pleased with his services and looking forward to continuing our Banking with DuGood Thank you Randal and Carla Janeaux,"new auto,pleased service,randal carla",POSITIVE,appreciation
Super fast service and friendly as always ,fast service,POSITIVE,information
Just a GREAT Experience which it always is Thanks for helping me save money Miss Kristin Daniels made every step easy and was so helpful I will continue be a member and also keep referring people to DuGood ,great experience,POSITIVE,appreciation
Very fast and convenient loan process Thank you for your service ,convenient loan,POSITIVE,appreciation
It was great and didn t even have to come off a lot of money to open account love dugood,open account,POSITIVE,information
We refinanced our truck and had a great experience and Ronda was great getting everything done along with Rebecca,great experience,POSITIVE,appreciation
Genise was my loan officer she was responsive very accommodating and very thorough with the entire process ,entire process,POSITIVE,information
Went and applied for a loan and everyone was very helpful and answered any and all questions I had They made the process very easy to get through and helped me through it all ,applied loan,POSITIVE,information
Tara Baloney is the MOST out going helpful customer focused DuGood representative I have had the pleasure of working with in my plus years of being a member I originally joined as a Goodrich member in the early s with a savings account and have worked with many people over the years I by FAR am not the easiest person to work with and am very particular on everything I purchase Tara has the patience to work with me where many would get aggravated trust me It took me months of looking at cars and her pulling numbers on over for me if that s not patient I don t know what is to sum this up she is a valuable asset in my opinion and needs to be recognized IF FOR NO OTHER REASON BUT PUTTING UPWITH ME This isn t even to mention her having to take care of her others members clients Please let her know if I could give her a award for employee of the year I would do it out of my own pocket Sincerely John Buehrle,"helpful customer,representative pleasure,early saving,many people,easiest person,aggravated trust,valuable asset",POSITIVE,appreciation
The lender at the bank was very helpful she was very helpful she answered all my questions and returned all my calls and returned all my calls she was very nice,answered question,POSITIVE,information
Best credit union by far Ms Ronda does the best job to always help me Thankful to be a part of this credit union Thanks for always helping me,"best credit,best job,thankful part",POSITIVE,appreciation
The credit union was wonderful and quick to get my loan processed completely The representative was friend and professional The rate was also extremely low I would recommend anyone that needs a loan use DuPont Credit Union ,"quick get,representative friend,professional rate",NEGATIVE,information
All of my experience with Dugood has been more than excellent Each time that I have had a transaction or needed help personnel at Dugood has always been there to assist in any way possible The Vidor bank is home for me but I have had the same excellent experience at the two branches in Beaumont I really appreciate Dugood and there employees especially Connie at Vidor office when I broke my shoulder and needed help with my banking Would never bank anywhere else Only Dugood ,"excellent time,possible vidor,excellent experience,dugood employee",POSITIVE,information
I told the hostess I came to open an account She summoned Brenda who listened to my needs and then proceeded to go thru the process with me Upon completion of the paperwork my business completed I departed ,open account,POSITIVE,information
Good interest rate Recently refinanced our mortgage and DuGood made it very easy ,good interest,POSITIVE,appreciation
I recently opened two accounts at the Orange TX Branch CUSTOMER Service was fast and friendly I felt right at home from the moment I entered Amy and her trainer worked quickly to address my needs and I was very pleased with the quality of service I was given It was my assumption that Amy was new However that didn t stop her from assisting my needs with excellence Thanks to Amy and the team training her ,"right home,pleased quality",POSITIVE,appreciation
Very easy to open a checking account and saving through y all Staff was very helpful and nice ,helpful nice,POSITIVE,appreciation
I applied for our loan online late at night and got a call from Kennedie FIRST thing the next morning She handled it promptly professionally and kept me updated regularly throughout the process It was literally quick and painless ,"late night,first thing,next morning,quick painless",NEGATIVE,complaint
Sandy Ferrell was amazing incredibly informative and helpful Highly recommend DuGood for any loan needs ,dugood loan,POSITIVE,appreciation
Friendly staff Quick set up ,"friendly staff,quick set",POSITIVE,appreciation
You are the best I had been with another bank for years and my S S check and my V A check had been deposited into that bank and at one time I had in my checking and they would not loan me for a bass boat As soon as I can I will have everything transferred over to my new bank Thanks Melvin Douglas McElroy Sr ,new bank,POSITIVE,appreciation
The Credit Union met all my needs Tara made my car buying experience very easy She is very knowledgeable about lending and banking business Thank you very much ,knowledgeable lending,POSITIVE,information
I needed a loan reworked so I called dupont and talked with Torey and she helped me go thru it all over the phone and I did nt have to miss any work so I could nt be any happier but whats new Dupont has always been there to help me out when needed ,"miss work,new dupont",NEGATIVE,complaint
The entire transaction was very nice Brenda has always done a great job working with me for my loans over the past years She has always gone above and beyond to take care of my needs Thank you,"entire transaction,great job,past year",POSITIVE,information
The team exceeded all expectations on my personal vacation loan new accounts and even offered to assist in other financial opportunities as well Everyone was professional and responded timely There were only stars above but I would have chosen if available ,"personal vacation,new account,financial opportunity,timely star",POSITIVE,information
The loan process was quick and easy The last few loans I ve taken from DuGood have been the best rates around also Great job DuGood ,"last loan,best rate,great job",POSITIVE,information
Best credit union ever great customer service very promp and helpful,"best credit,great customer",POSITIVE,appreciation
I felt like everyone I dealt with was professional and kind as well worked efficiently Thank you ,professional kind,POSITIVE,appreciation
