,comments,CleanedText
512,,
513,"Nothing bad , everything good","Nothing bad , everything good"
514,"Color is not that much bright as appeared in the images, except that good product..","Color is not that much bright as appeared in the images, except that good product."
515,Looks good. Size is fine for school. Quite spacious.will update the review if I see any issues after some time because of  weat and tear.,Looks good. Size is fine for school. Quite spacious. will update the review if I see any issues after some time because of  weat and tear.
516,The back should have laptop compartment overall it is good,The back should have laptop compartment overall it is good
517,Like,Like
518,"Extremely poor quality, in within a month’s usage it has got torn from three places. Space usage is also uncomfortable.","Extremely poor quality, in within a month’s usage it has got torn from three places. Space usage is also uncomfortable."
519,Quality is not good,Quality is not good
520,Likely,Likely
521,Quality is good for the price however it doesn't look very fancy,Quality is good for the price however it doesn't look very fancy
522,Nice product,Nice product
523,"I don't like the Quality of the Product, and it's been more than 2 weeks I have raise return request no one's turned up till today... 😶","I don't like the Quality of the Product, and it's been more than 2 weeks I have raise return request no one's turned up till today. 😶"
524,Super light weight ......But because of light colour we want to matain,Super light weight . But because of light colour we want to matain
525,Bag quality no issue but very small,Bag quality no issue but very small
526,Average,Average
527,It is light weight but material used in is not up-to mark. Next the back support stitching is too not comfortable. Rest are OK. Inner lining is very good. For school bag it's perfect but those want a travel bag they must go for a little better option.,It is light weight but material used in is not up-to mark. Next the back support stitching is too not comfortable. Rest are OK. Inner lining is very good. For school bag it's perfect but those want a travel bag they must go for a little better option.
528,Good looking and light weight.,Good looking and light weight.
529,Using from last 4 monthGood quality,Using from last 4 monthGood quality
530,Print quality need to be improve..,Print quality need to be improve.
531,,
532,Even after replacement the bag has no rain cover,Even after replacement the bag has no rain cover
533,Like this,Like this
534,Very good item,Very good item
535,🙂,🙂
536,"Nice one , value for money 💸💰💸","Nice one , value for money 💸💰💸"
537,"Laptop pack should be there,at this price","Laptop pack should be there,at this price"
538,Looks fake to me. Very cheap matrial. Doesn't look long lasting. The threads are coming off the bag. Built quality is questionable.,Looks fake to me. Very cheap matrial. Doesn't look long lasting. The threads are coming off the bag. Built quality is questionable.
539,❤️❤️💕💕🙏🙏🙏🙏✅✅✅ very nice 👌,❤️❤️💕💕🙏🙏🙏🙏✅✅✅ very nice 👌
540,"While cost is considered I bought it really cheap less than 900 or 800 ,I don't remember , and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things.It is light weight w.r.t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of paddingThere are a lot of pockets in the first compartment which you will be of a great useIf you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better oneThis one is sold in market because in has a logo of american tuorister nothing more than that","While cost is considered I bought it really cheap less than 900 or 800 ,I don't remember , and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things. It is light weight w. r. t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of paddingThere are a lot of pockets in the first compartment which you will be of a great useIf you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better oneThis one is sold in market because in has a logo of american tuorister nothing more than that"
541,"Item is good but it's not comfortable to hang on back as compare to skybag brand.Water resistant property is fantastic. I am use in heavy rain and my laptop and all other things are completely safe and dry.Only hanging issue , shoulders start to pain if we are hang this bang too long time. All other is fantastic.","Item is good but it's not comfortable to hang on back as compare to skybag brand. Water resistant property is fantastic. I am use in heavy rain and my laptop and all other things are completely safe and dry. Only hanging issue , shoulders start to pain if we are hang this bang too long time. All other is fantastic."
542,look is fabulous.. quality is not so good...,look is fabulous. quality is not so good.
543,Good & worthy,Good & worthy
544,Awesome Quality,Awesome Quality
545,Yes I like a little bit but not Sutysfied,Yes I like a little bit but not Sutysfied
546,I like for look and brand,I like for look and brand
547,School,School
548,Have third class print on front pocket... within 10-12 days it's starting feel off from the bag fabric...Having soo worst  experience...,Have third class print on front pocket. within 10-12 days it's starting feel off from the bag fabric. Having soo worst  experience.
549,Good Product but there are no laptop rack and rain cover.  It would have been better if there was a laptop rack and a rain cover.,Good Product but there are no laptop rack and rain cover.  It would have been better if there was a laptop rack and a rain cover.
550,School bag,School bag
551,Very good,Very good
552,Standard for  college students.,Standard for  college students.
553,Ok,Ok
554,Light weight travel bag.One must try first and comment.,Light weight travel bag. One must try first and comment.
555,best quality,best quality
556,It's light in weight... And comfortable to use,It's light in weight. And comfortable to use
557,Delivered as shown on site,Delivered as shown on site
558,Good quality,Good quality
559,Easy to carry. Very flexible. Awesome look,Easy to carry. Very flexible. Awesome look
560,Agar aapko brand matter karta hai to aap le sakte hai ...Maine sale mai purchase kiya tha 670 ka pada tha agar aap regular price mai buy karte h toh ye aapko 1400 ka padega ...Is tarah se dekha jaaye to aap is price range mai offline market se is se accha bag le sakte h bas brand ke naam pr loota jata h,Agar aapko brand matter karta hai to aap le sakte hai . Maine sale mai purchase kiya tha 670 ka pada tha agar aap regular price mai buy karte h toh ye aapko 1400 ka padega . Is tarah se dekha jaaye to aap is price range mai offline market se is se accha bag le sakte h bas brand ke naam pr loota jata h
561,,
562,"Osum product ,very spacious.best quality as it is shown in the image very satisfied and impressed.👍Best for daily use for office or school perpose.","Osum product ,very spacious. best quality as it is shown in the image very satisfied and impressed.👍Best for daily use for office or school perpose."
563,Verry Good Traveling bag,Verry Good Traveling bag
564,It is very very very light weight..... And water resistantance but I bought it for 899 but it is high cost  ... High cost and high quality tq amazon,It is very very very light weight. And water resistantance but I bought it for 899 but it is high cost  . High cost and high quality tq amazon
565,For travel it's good product,For travel it's good product
566,"Writing review after 3 months of daily usage.Very well stiched and official product from American tourister, the only bad thing about this product that the orange coloured shiny finish tends to wear off after 1 month of use. It has already started chipping from different places. Overall, this bag is a solid 4 out of 5 stars","Writing review after 3 months of daily usage. Very well stiched and official product from American tourister, the only bad thing about this product that the orange coloured shiny finish tends to wear off after 1 month of use. It has already started chipping from different places. Overall, this bag is a solid 4 out of 5 stars"
567,Quality is good. Not much as expected. And also fake American tourister backpackBest if you buy at price of 699. I got this at price of 799.,Quality is good. Not much as expected. And also fake American tourister backpackBest if you buy at price of 699. I got this at price of 799.
568,"Yes, the product received is exact to what was displayed. But this is an ordinary one. By viewing the name American Tourister, I purchased this bag. Wouldn't have purchased physically. This is the problem with online shopping. You never get the right feel.","Yes, the product received is exact to what was displayed. But this is an ordinary one. By viewing the name American Tourister, I purchased this bag. Wouldn't have purchased physically. This is the problem with online shopping. You never get the right feel."
569,Good product,Good product
570,It's nice my kid like it.,It's nice my kid like it.
571,Good product,Good product
572,Thik Thak hai.. Paisa jada hai to le la marde..log lekinn laptapwa rakhe bade zagah nahi ba,Thik Thak hai. Paisa jada hai to le la marde. log lekinn laptapwa rakhe bade zagah nahi ba
573,It's good for what amount we are paying. Moreover getting this brands product for this price was great.,It's good for what amount we are paying. Moreover getting this brands product for this price was great.
574,Value of money,Value of money
575,Nice for other,Nice for other
576,Quality not at all good seems like duplicate and fake,Quality not at all good seems like duplicate and fake
577,I will use it for trevell and after it I will update it,I will use it for trevell and after it I will update it
578,Good,Good
579,good,good
580,Very cheam quality,Very cheam quality
581,Not as good as expected!!Very disappointingOnly few chains are there and 3 proper shelf in it .Hope it will improve,Not as good as expected. Very disappointingOnly few chains are there and 3 proper shelf in it . Hope it will improve
582,Not recieved rain cover for bag,Not recieved rain cover for bag
583,Good and comfortable as per value,Good and comfortable as per value
584,Very nice bag.,Very nice bag.
585,Very bad cloths.pls return. Why are pickup the bag,Very bad cloths. pls return. Why are pickup the bag
586,Good quality,Good quality
587,This bagpack is not made for office purpose ...This is very useful for school and traveling...It should be under ₹600 .... Not more than it,This bagpack is not made for office purpose . This is very useful for school and traveling. It should be under ₹600 . Not more than it
588,"Durability, nice and strong bag","Durability, nice and strong bag"
589,Good for the price,Good for the price
590,I bought this for my school pourpose but the inner side partition is too low quality and the plastic coating with writings will start tearing  the bag is good for low usageThx,I bought this for my school pourpose but the inner side partition is too low quality and the plastic coating with writings will start tearing  the bag is good for low usageThx
591,"Good product, value for money..","Good product, value for money."
592,Halka or majbut hai,Halka or majbut hai
593,Good,Good
594,,
595,This bag is not good at all. The cushioning under the straps is very thin and there is no rain cover. It doesn't seem to be waterproof. I'm returning it,This bag is not good at all. The cushioning under the straps is very thin and there is no rain cover. It doesn't seem to be waterproof. I'm returning it
596,Not a bad,Not a bad
597,Great dealIt's nice bag,Great dealIt's nice bag
598,Torn,Torn
599,Nice product,Nice product
600,The bag is good. I just received the product so can’t say abt the durability but its AMT so hope it will be durable. In both the pics of amazon & mine u can see that the print on the front side of bag is bright orange but in real eyes they appear dull mostly like reddish orange. To be exact like the colour of brick. Otherwise everything is awesome.,The bag is good. I just received the product so can’t say abt the durability but its AMT so hope it will be durable. In both the pics of amazon & mine u can see that the print on the front side of bag is bright orange but in real eyes they appear dull mostly like reddish orange. To be exact like the colour of brick. Otherwise everything is awesome.
601,Duzige,Duzige
602,Purchased this bag on June 22. Within a month the bag compartment collapsed with book load. The books wont stay in place and are getting crumpled and folded. Very bad quality bag. Not sure if this is a genuine product. Please dony waste money buying this bag.,Purchased this bag on June 22. Within a month the bag compartment collapsed with book load. The books wont stay in place and are getting crumpled and folded. Very bad quality bag. Not sure if this is a genuine product. Please dony waste money buying this bag.
603,"Cheap Price ,Go ahead Guys","Cheap Price ,Go ahead Guys"
604,The was ok for a month then meterial started tear off from the stitches,The was ok for a month then meterial started tear off from the stitches
605,"Light weight bag, good bag","Light weight bag, good bag"
606,"The media could not be loaded.
                



 It is 30l bag of America n Tourists. It is Original product. Irt has 1 years of worldwide warranty. It is amazing. It is waterproof","The media could not be loaded.
                



 It is 30l bag of America n Tourists. It is Original product. Irt has 1 years of worldwide warranty. It is amazing. It is waterproof"
607,Thik thak,Thik thak
608,খুব ভাল লাগল ধন্যবাদ আপনাকে অসংখ্য। আমি আশা করিনি এত ভালো প্রোডাক্ট হবে ।,খুব ভাল লাগল ধন্যবাদ আপনাকে অসংখ্য। আমি আশা করিনি এত ভালো প্রোডাক্ট হবে ।
609,"The media could not be loaded.
                



 It's good for college and school boys","The media could not be loaded.
                



 It's good for college and school boys"
610,Bag is light weighted but small and quality is compromised. Not satisfied by the product. Product is not as good as shown here.,Bag is light weighted but small and quality is compromised. Not satisfied by the product. Product is not as good as shown here.
611,Good 👍,Good 👍
612,Used by my school going (10th grade) son.. this bag has enough space to hold his books.. it's comfortable and good choice,Used by my school going (10th grade) son. this bag has enough space to hold his books. it's comfortable and good choice
613,Ok,Ok
614,"The media could not be loaded.
                



 Large bag . Gud quality. 8th std Books kept in the bag.","The media could not be loaded.
                



 Large bag . Gud quality. 8th std Books kept in the bag."
615,Recommended,Recommended
616,Good for the price. No complaints.,Good for the price. No complaints.
617,Side grip for Water bottle is not good..,Side grip for Water bottle is not good.
618,Good Quality....,Good Quality.
619,Very good product,Very good product
620,Material is best,Material is best
621,Didn't find any interesting thing about this bag.,Didn't find any interesting thing about this bag.
622,The quality was not good.  It was not looking good for the colour and design,The quality was not good.  It was not looking good for the colour and design
623,Nice product,Nice product
624,That's a nice Bag,That's a nice Bag
625,It's a good bag for 32 liters. Especially school students. Some may find it less spacious. But easy to carry around with two bottle holders and soft padding.,It's a good bag for 32 liters. Especially school students. Some may find it less spacious. But easy to carry around with two bottle holders and soft padding.
626,Very super,Very super
627,,
628,,
629,😄 😄 😄 😄,😄 😄 😄 😄
630,Nice product,Nice product
631,Used product recieved with BigBazaar bill in the pocket,Used product recieved with BigBazaar bill in the pocket
632,For travelling & light weight it is too good but unfortunately water resistance is not so much impressive,For travelling & light weight it is too good but unfortunately water resistance is not so much impressive
633,Good,Good
634,Laptop protection missing inside the bag so it's not suitable for laptops,Laptop protection missing inside the bag so it's not suitable for laptops
635,"Best product , light weight, comfortable in carrying, good looking! I bought at Rs 799. Best for school and college going persons as well as for tour!","Best product , light weight, comfortable in carrying, good looking. I bought at Rs 799. Best for school and college going persons as well as for tour."
636,Very nice and quality,Very nice and quality
637,,
638,Good product,Good product
639,Layer was to thin,Layer was to thin
640,Brand big but quality nill,Brand big but quality nill
641,"Material feels like rough. I got this at 499. But i was expecting so much from American Tourister.  But it is ok for 499, but not for above 700.","Material feels like rough. I got this at 499. But i was expecting so much from American Tourister.  But it is ok for 499, but not for above 700."
642,Quality just better,Quality just better
643,The product is OK.I can't tell it's genuine American tourists or not.If it is genuine the quality has came down a lot.Last time I bought a AT from Myntra in 2013 has way much more quality.,The product is OK. I can't tell it's genuine American tourists or not. If it is genuine the quality has came down a lot. Last time I bought a AT from Myntra in 2013 has way much more quality.
644,Good product,Good product
645,Good quality product as described,Good quality product as described
646,It looks original but quality is poor.,It looks original but quality is poor.
647,Poor quality scratch in bag,Poor quality scratch in bag
648,Must Buy,Must Buy
649,Good product,Good product
650,This product is just huhhhhhhhhh so amazing and looking at the premium quality of zip make this bag toooooooooo ossum,This product is just huhhhhhhhhh so amazing and looking at the premium quality of zip make this bag toooooooooo ossum
651,It doesnt have any rain cover or any kind of water proofing system.,It doesnt have any rain cover or any kind of water proofing system.
652,Good product,Good product
653,Very good,Very good
654,"The media could not be loaded.
                



 Good and excellent school bag.  Double cloth inside.","The media could not be loaded.
                



 Good and excellent school bag.  Double cloth inside."
655,,
656,1)The quality what we see in picture ..And what we get after ordering is some bad..2)Just ok ok worth of money3)No rain cover given with it4)poor packing from Amazon department.. 😑5)you will love when you use it . ❤️,1)The quality what we see in picture . And what we get after ordering is some bad.2)Just ok ok worth of money3)No rain cover given with it4)poor packing from Amazon department. 😑5)you will love when you use it . ❤️
657,on the bag that it is water-resistant and it is getting damaged,on the bag that it is water-resistant and it is getting damaged
658,Quality is good,Quality is good
659,Good quality light weight,Good quality light weight
660,Not as much expectedBut overall good product,Not as much expectedBut overall good product
661,Extraordinary item.... value for money,Extraordinary item. value for money
662,"And another bad thing is in this bag, for laptop their is no extra space. Bag is very light weight and weak outer material means, actual price in our city is RS.300 or Rs. 400","And another bad thing is in this bag, for laptop their is no extra space. Bag is very light weight and weak outer material means, actual price in our city is RS.300 or Rs. 400"
663,Giod quality and best for traveling,Giod quality and best for traveling
664,,
665,Not as expectedI want best butit is good,Not as expectedI want best butit is good
666,Worst Product. I baught because of price. But it was my mistake. And worst part is ..I am trying to return it since last 20 days. But But no one is coming to pick it up. I have scheduled 5 times my pick up. But no one is coming. And Amazon is not returning my money.,Worst Product. I baught because of price. But it was my mistake. And worst part is . I am trying to return it since last 20 days. But But no one is coming to pick it up. I have scheduled 5 times my pick up. But no one is coming. And Amazon is not returning my money.
667,Poor quality product. The strap broke In 2 days . Zips are poor quality.,Poor quality product. The strap broke In 2 days . Zips are poor quality.
668,Defenetly buy,Defenetly buy
669,The media could not be loaded.,The media could not be loaded.
670,Awesome,Awesome
671,Good,Good
672,,
673,No,No
674,"Veri nice bag . It's material is good. I liked it too much. When the chain is closed ,then water can't goes inside it . It is full water resistant . Nice product in this price.","Veri nice bag . It's material is good. I liked it too much. When the chain is closed ,then water can't goes inside it . It is full water resistant . Nice product in this price."
675,I have other American Tourister bag and it is of good quality. But this bag is disappointment in the name of good brand. Low quality and Non durable product.,I have other American Tourister bag and it is of good quality. But this bag is disappointment in the name of good brand. Low quality and Non durable product.
676,It's better than my expectation,It's better than my expectation
677,"Very unlikely it is not a fake product but a decent quality product from AMERICAN TOURISTER.If you a 2/3 month rough user with intense work load and you can change your bag after that,hence you can go for it.But don't expect the premium quality build and straches with quality materials. Because you will betray your faith on them and yourself.So stay out of it you will get better product from other band in this price range.","Very unlikely it is not a fake product but a decent quality product from AMERICAN TOURISTER. If you a 2/3 month rough user with intense work load and you can change your bag after that,hence you can go for it. But don't expect the premium quality build and straches with quality materials. Because you will betray your faith on them and yourself. So stay out of it you will get better product from other band in this price range."
678,"The media could not be loaded.
                



 Best quality 👌","The media could not be loaded.
                



 Best quality 👌"
679,Superb,Superb
680,Good quality,Good quality
681,"All about good, but print not good","All about good, but print not good"
682,Beg quality is good but size is small. As per size in description  32 liter and wrong description available.,Beg quality is good but size is small. As per size in description  32 liter and wrong description available.
683,The colour which is Grey is getting converted into black,The colour which is Grey is getting converted into black
684,"After a few days of purchase, the stitching of the bag opened.","After a few days of purchase, the stitching of the bag opened."
685,Size is too small not shown as,Size is too small not shown as
686,Nyc comfortable,Nyc comfortable
687,"Thread are coming out, not properly stiching work are very bad, and may be materials was used, low quality","Thread are coming out, not properly stiching work are very bad, and may be materials was used, low quality"
688,Good product,Good product
689,Good,Good
690,I just use it for two trip and steches open from top not over weight it just normal two heans and tshirts wrost product not orignal,I just use it for two trip and steches open from top not over weight it just normal two heans and tshirts wrost product not orignal
691,Really spacious and light weight bag. Useful for travelling as the big and small compartments serves the purpose of packing effectively.,Really spacious and light weight bag. Useful for travelling as the big and small compartments serves the purpose of packing effectively.
692,Just ok..,Just ok.
693,Good Quality in this price. I expected high cost as a big brand name. But it is very difficult to get a good bag at this rate. If you are looking for this kind of bags in under 1000 Rs. JUST GO FOR IT.,Good Quality in this price. I expected high cost as a big brand name. But it is very difficult to get a good bag at this rate. If you are looking for this kind of bags in under 1000 Rs. JUST GO FOR IT.
694,"For traveling purpose it is good & light weight, I don't think it will be fully water proof.........😉","For traveling purpose it is good & light weight, I don't think it will be fully water proof.😉"
695,Very very good product .....but I gave one star less cause it should had the laptop case in this price range,Very very good product . but I gave one star less cause it should had the laptop case in this price range
696,"It is good bag, durable , water resistant and light weight too, the only issue is this bag has no backbone. If u keep it somewhere it will bend or fall but it won't stand straight. And besides this issue there is nothing else to worry abt. It's really good bag","It is good bag, durable , water resistant and light weight too, the only issue is this bag has no backbone. If u keep it somewhere it will bend or fall but it won't stand straight. And besides this issue there is nothing else to worry abt. It's really good bag"
697,This is low quality febric product,This is low quality febric product
698,Worth the name-American tourister.,Worth the name-American tourister.
699,If you want this bag go for it. I have done quite some research and I think this color pallete choosen by the designers is fantastic. It is nothing too fancy yet it looks good. I bought it for my parents and they loved it. Ma was kind of skeptical about it as it is one of the lightweight bags. But if you are not going to literally overload things the bag it will be just fine. Water resistance is quite normal nothing anything fancy to talk about it. Just good enough for occasional use.,If you want this bag go for it. I have done quite some research and I think this color pallete choosen by the designers is fantastic. It is nothing too fancy yet it looks good. I bought it for my parents and they loved it. Ma was kind of skeptical about it as it is one of the lightweight bags. But if you are not going to literally overload things the bag it will be just fine. Water resistance is quite normal nothing anything fancy to talk about it. Just good enough for occasional use.
700,Awesome,Awesome
701,The best,The best
702,For laptops their is no place,For laptops their is no place
703,Be safe you watter bottle holder it was teared!,Be safe you watter bottle holder it was teared.
704,"I am using American Tourister bag it's quality is good and it is strong. But this item is bit Bad quality, They doesn't meet the expectations and quality etcc.....","I am using American Tourister bag it's quality is good and it is strong. But this item is bit Bad quality, They doesn't meet the expectations and quality etcc."
705,"Nice bag,but money is high for this bag","Nice bag,but money is high for this bag"
706,Nice,Nice
707,Nice bag,Nice bag
708,"The media could not be loaded.
                



 Not bad but ok ok","The media could not be loaded.
                



 Not bad but ok ok"
709,I disliked because the quality is not nice the stiching is not good at all and I don’t Recommended for school use or college use.,I disliked because the quality is not nice the stiching is not good at all and I don’t Recommended for school use or college use.
710,Ok,Ok
711,Stitches come out and water bottle keeping area is fully torned,Stitches come out and water bottle keeping area is fully torned
712,Seller must have forgotten that this is not cheap bag.  It's not even water resistant.,Seller must have forgotten that this is not cheap bag.  It's not even water resistant.
713,For school,For school
714,Excellent,Excellent
715,"@999/- the bag seems okay for the price. Cloth quality is cheap and very thin. Stitching is okay. Under heavy weight the bag will surely tear off. Not usable on a longer run. Its made to carry very light material - maybe just for clothes. Books, laptop, chargers, nothing of that sort should be carried in it due to flimsy tearable build quality. Not recommended as a school bag at all. Stay away! Look elsewhere.","@999/- the bag seems okay for the price. Cloth quality is cheap and very thin. Stitching is okay. Under heavy weight the bag will surely tear off. Not usable on a longer run. Its made to carry very light material - maybe just for clothes. Books, laptop, chargers, nothing of that sort should be carried in it due to flimsy tearable build quality. Not recommended as a school bag at all. Stay away. Look elsewhere."
716,"Not water restistent, light weight, fabric is not as good as I have expected! Overall good.","Not water restistent, light weight, fabric is not as good as I have expected. Overall good."
717,Quality is poor,Quality is poor
718,"The media could not be loaded.
                



 Fabric looks like low quality,not worth for this amount.","The media could not be loaded.
                



 Fabric looks like low quality,not worth for this amount."
719,"I liked everything about this bag but the zips could be a little bit stylish like wildcraft bags and this is not completely water resistant,it can control only a little water if it's more the water goes in and I think it was good if i had a laptop compartment in this bag except that it is an excellent bag for schools and colleges","I liked everything about this bag but the zips could be a little bit stylish like wildcraft bags and this is not completely water resistant,it can control only a little water if it's more the water goes in and I think it was good if i had a laptop compartment in this bag except that it is an excellent bag for schools and colleges"
720,Yeah absolutely stunning and durable. No more words to say thumps up.,Yeah absolutely stunning and durable. No more words to say thumps up.
721,Cofartable for coaching students,Cofartable for coaching students
722,"Fast delivered, good space, seem rough & rufBut made in China 😠😡","Fast delivered, good space, seem rough & rufBut made in China 😠😡"
723,It ouality is no so good,It ouality is no so good
724,Quality is average.Not for long durabilit.Average product.,Quality is average. Not for long durabilit. Average product.
725,Don't buy for college and school use,Don't buy for college and school use
726,Nice and Easy to carry,Nice and Easy to carry
727,With brand name like this not expected quality like this very bad experience.,With brand name like this not expected quality like this very bad experience.
728,Worst bag !!! Sticker get damaged in a week . The bad riped up from many places .. if you are looking a school bag don't try this one.,Worst bag . Sticker get damaged in a week . The bad riped up from many places . if you are looking a school bag don't try this one.
729,please don't buy it...cheap product...waste of money...,please don't buy it. cheap product. waste of money.
730,As photographs no laptop section,As photographs no laptop section
731,Seems not original,Seems not original
732,"Good product,good print and nice colour","Good product,good print and nice colour"
733,Color is gud and for traveling it's light weight bt should b improved in water proof or resistance,Color is gud and for traveling it's light weight bt should b improved in water proof or resistance
734,Small but good,Small but good
735,"I Really loved this Bag good material, and super stylish light, weight more Convenient for travel and Business purposes in such a Great Price. But now I returned the Bag for Upgradation.Thanks to Amazon's friendly and easy 30 Days Return Policy Where the returns Made Easy!","I Really loved this Bag good material, and super stylish light, weight more Convenient for travel and Business purposes in such a Great Price. But now I returned the Bag for Upgradation. Thanks to Amazon's friendly and easy 30 Days Return Policy Where the returns Made Easy."
736,Value for money so good,Value for money so good
737,The net used for bottle holder very poor quality,The net used for bottle holder very poor quality
738,Not original american tourister poor material,Not original american tourister poor material
739,Very goof,Very goof
740,Product is good but wanted laptop bag,Product is good but wanted laptop bag
741,"Best quality, color and value","Best quality, color and value"
742,Low quality but yes it can go for 6 months,Low quality but yes it can go for 6 months
743,,
744,"The media could not be loaded.
                



 The printed layer has been chipped and looking very bad. Pls replace the bag.","The media could not be loaded.
                



 The printed layer has been chipped and looking very bad. Pls replace the bag."
745,Perfect,Perfect
746,0% Water resistant. 100% water absorbant. Rain cover is MUST during monsoon. Stylish. Big on space. Ideal for travelling and even for small treks.,0% Water resistant. 100% water absorbant. Rain cover is MUST during monsoon. Stylish. Big on space. Ideal for travelling and even for small treks.
747,The bag quality is very good and product is valuable in this price.The delivery product very fast from amazon.,The bag quality is very good and product is valuable in this price. The delivery product very fast from amazon.
748,Bag is cool and light weight. I purchased for laptop but there is no dedicated place for keeping the laptop,Bag is cool and light weight. I purchased for laptop but there is no dedicated place for keeping the laptop
749,Best choice,Best choice
750,It looks good and very light in weight,It looks good and very light in weight
751,Good,Good
752,The quality of this bag is not good according to  price.,The quality of this bag is not good according to  price.
753,I will definitely use this in my travelling,I will definitely use this in my travelling
754,This bag is superb and recommended for class 10 student 🙂🔥🔥🔥,This bag is superb and recommended for class 10 student 🙂🔥🔥🔥
755,Ok,Ok
756,Light weight and sturdy. Size is also good.,Light weight and sturdy. Size is also good.
757,Poor qualit,Poor qualit
758,Started tearing apart on sideways just after a month of buying ☹️☹️☹️,Started tearing apart on sideways just after a month of buying ☹️☹️☹️
759,Yes this is actually a light weight bag having a good quality of material.It's not that much water resistant but it has rubber coated material on front pocket which resists water very well.Enough amount of space and pockets with bottle holers both side.Lookwise it's decent in a funky way. Can hold packing of 3-4 days ( may be of a week for some boys 😂),Yes this is actually a light weight bag having a good quality of material. It's not that much water resistant but it has rubber coated material on front pocket which resists water very well. Enough amount of space and pockets with bottle holers both side. Lookwise it's decent in a funky way. Can hold packing of 3-4 days ( may be of a week for some boys 😂)
760,Good,Good
761,Its not the way i expected....,Its not the way i expected.
762,Worthy buy.,Worthy buy.
763,"Low water resistant, but very light weight.","Low water resistant, but very light weight."
764,Offer one to two mouth it is damage some place,Offer one to two mouth it is damage some place
765,Over priced,Over priced
766,"All good , bag is in good condition after 1 month usage . Comfortable , light weight , same to same as shown in picture , I m happy with the product . Suitable for carrying cloths for  holidays(3/4) and around 10 books/copies . From my side just go for it .","All good , bag is in good condition after 1 month usage . Comfortable , light weight , same to same as shown in picture , I m happy with the product . Suitable for carrying cloths for  holidays(3/4) and around 10 books/copies . From my side just go for it ."
767,Nice,Nice
768,Good Product,Good Product
769,It looks great,It looks great
770,Good product this price rangeI am my old AT Bag 3 years long use,Good product this price rangeI am my old AT Bag 3 years long use
771,Bag is good like capacity is perfect but i am feeling that quality is not upto the mark.,Bag is good like capacity is perfect but i am feeling that quality is not upto the mark.
772,Internal quality is very poor. Not meet the expectations. But ok. It can be affordable at 599.,Internal quality is very poor. Not meet the expectations. But ok. It can be affordable at 599.
773,"It is sturdy and comfort to hold on to our back..and it's light weight, I bought it for my laptop and it's 17"" inch it fits well it this bag and drawback is it has no rain cover..overall it is good to buy","It is sturdy and comfort to hold on to our back. and it's light weight, I bought it for my laptop and it's 17"" inch it fits well it this bag and drawback is it has no rain cover. overall it is good to buy"
774,Not worth in money. Very cheap quality..here looking good.. but am received like rubbish quality.Thanks amazon!In future don't recommendation anyone to buy online like this product.,Not worth in money. Very cheap quality. here looking good. but am received like rubbish quality. Thanks amazon. In future don't recommendation anyone to buy online like this product.
775,Nice product,Nice product
776,Not good quality as per expected,Not good quality as per expected
777,"Ok let me clear you every topic step by step ! Please don't trust order1) light weight2) it's original3) i just got that next day(within22 hours)4) made in china product(so can boycott that)5) not waterproof,no cover6) easy to carry,graphic are in good shape!7) students can use this back not school kids because i m sure about how much weight it can carry easily8) at this price , you will buy some other chinese products so you can go for this9) rating will be 4.5 from 5 stars . Money should be nearby 600","Ok let me clear you every topic step by step . Please don't trust order1) light weight2) it's original3) i just got that next day(within22 hours)4) made in china product(so can boycott that)5) not waterproof,no cover6) easy to carry,graphic are in good shape.7) students can use this back not school kids because i m sure about how much weight it can carry easily8) at this price , you will buy some other chinese products so you can go for this9) rating will be 4.5 from 5 stars . Money should be nearby 600"
778,It's not a water proof,It's not a water proof
779,Good,Good
780,It is a good bag got it cheap best in that price quality is also great,It is a good bag got it cheap best in that price quality is also great
781,product,product
782,Material and look is not satisfactory...looks like duplicate brand...,Material and look is not satisfactory. looks like duplicate brand.
783,Like,Like
784,I dislike the quality it's price should be 400,I dislike the quality it's price should be 400
785,Not satisfied with quality of American tourister. Quality does not match price. Much better quality bags are available in market even on lower rate. I would never buy another.,Not satisfied with quality of American tourister. Quality does not match price. Much better quality bags are available in market even on lower rate. I would never buy another.
786,Good product,Good product
787,packing is not good. Can be use for 1.5 years. Quality is good. You can buy this product. It is good for the price.,packing is not good. Can be use for 1.5 years. Quality is good. You can buy this product. It is good for the price.
788,Nice,Nice
789,Excellent 👌 light weight......nice qualityAlmost all features r perfect.and value for money..I bought this item for 800.very nice to office purpose..all ok but laptop shelf is not available....,Excellent 👌 light weight. nice qualityAlmost all features r perfect. and value for money. I bought this item for 800. very nice to office purpose. all ok but laptop shelf is not available.
790,Perfect backpack for college students.price worth it.bag shown in the image similar that I get.,Perfect backpack for college students. price worth it. bag shown in the image similar that I get.
791,Good but not best,Good but not best
792,,
