Unnamed: 0,comments,CleanedText,sentiment
1109,No so good.. Ok ok type.,No so good. Ok ok type.,NEGATIVE
1110,Good quality of beg  it's water resistant and light weighted also..  I m happy to purchase,Good quality of beg  it's water resistant and light weighted also.  I m happy to purchase,POSITIVE
1111,"It's super back pouch in a best price lite weight, water proof, nice design","It's super back pouch in a best price lite weight, water proof, nice design",POSITIVE
1112,Nice product good red colourPrintings are very clear and high qualitySmooth zipper and also strongFine and robust stitchings especially on shoulders,Nice product good red colourPrintings are very clear and high qualitySmooth zipper and also strongFine and robust stitchings especially on shoulders,POSITIVE
1113,Spacious and lightweight bag. Easy to handle and robust enough to bear the extra weight. Excellent product.,Spacious and lightweight bag. Easy to handle and robust enough to bear the extra weight. Excellent product.,POSITIVE
1114,The media could not be loaded.,The media could not be loaded.,NEGATIVE
1115,Traveling and light weight Product perfectly.Water resistant  quality product ration is 85% nearby.,Traveling and light weight Product perfectly. Water resistant  quality product ration is 85% nearby.,POSITIVE
1116,I received this product in a awesome quality. Thanks amazon for this great product.,I received this product in a awesome quality. Thanks amazon for this great product.,POSITIVE
1117,"Light weight, useful","Light weight, useful",POSITIVE
1118,God productButAmount is more,God productButAmount is more,NEGATIVE
1119,Too good at all.,Too good at all.,POSITIVE
1120,Good quality.,Good quality.,POSITIVE
1121,I  like This bag very Much Thanks Amazon and American Tourister,I  like This bag very Much Thanks Amazon and American Tourister,POSITIVE
1122,Amazing Product For Students & For Travellers.,Amazing Product For Students & For Travellers.,POSITIVE
1123,Very light and strong,Very light and strong,POSITIVE
1124,"Smart looking! Many pockets, good for short travel, college, office commute","Smart looking. Many pockets, good for short travel, college, office commute",POSITIVE
1125,ITS A GOOD BAG I LIKE IT,ITS A GOOD BAG I LIKE IT,POSITIVE
1126,पसंद है,पसंद है,POSITIVE
1127,Water resistant quality is very poor.More space for extra luggage.,Water resistant quality is very poor. More space for extra luggage.,NEGATIVE
1128,Good,Good,POSITIVE
1129,I use this bag while traveling. It is good spacious... It weigh less...,I use this bag while traveling. It is good spacious. It weigh less.,NEGATIVE
1130,The bag is very good.Cloth very good.If you have more stuff to keep then u buyingVery comfortable in travelling .,The bag is very good. Cloth very good. If you have more stuff to keep then u buyingVery comfortable in travelling .,POSITIVE
1131,The product is good but it is useful as a luggage bag not a school bag .. That's not Amazon's discredit .. Over all this is a nice product in ₹721/- only ..,The product is good but it is useful as a luggage bag not a school bag . That's not Amazon's discredit . Over all this is a nice product in ₹721/- only .,POSITIVE
1132,Good bag and worth of cost also..,Good bag and worth of cost also.,POSITIVE
1133,"Durable bag , can carry weight upto 16 kgSpacious and comfortable.","Durable bag , can carry weight upto 16 kgSpacious and comfortable.",POSITIVE
1134,"Looking good as I expected ,no damage  ... I m not used yet.... I got it for 800","Looking good as I expected ,no damage  . I m not used yet. I got it for 800",NEGATIVE
1135,Good,Good,POSITIVE
1136,Adequate stuff by tourister and Amazon perfect stuffI m employee and used at least 3 months dashing stuff,Adequate stuff by tourister and Amazon perfect stuffI m employee and used at least 3 months dashing stuff,POSITIVE
1137,Duplicate products,Duplicate products,NEGATIVE
1138,"Quality wise, look wise it's a very good product","Quality wise, look wise it's a very good product",POSITIVE
1139,never expected this kind of product quality not at all interested in this product,never expected this kind of product quality not at all interested in this product,NEGATIVE
1140,Bestt product...quality is also good and colour is pretty 😍,Bestt product. quality is also good and colour is pretty 😍,POSITIVE
1142,"Light weight. Good for everyday use. Not water resistant material. Although items inside the bag do not get wet, the outer material gets wet and needs to be dried overnight if used in rainy season. Got the delivery, the next day itself. Happy for that.","Light weight. Good for everyday use. Not water resistant material. Although items inside the bag do not get wet, the outer material gets wet and needs to be dried overnight if used in rainy season. Got the delivery, the next day itself. Happy for that.",POSITIVE
1143,Nice bag !,Nice bag .,POSITIVE
1144,As always American Tourister proved to be nice enough. I was using an American Tourister for last 3-4 years and here again it is a nice product. If not used to carry tins of luggage or rubbed and thrown on rough surfaces vigorously then it will last many days I believe.,As always American Tourister proved to be nice enough. I was using an American Tourister for last 3-4 years and here again it is a nice product. If not used to carry tins of luggage or rubbed and thrown on rough surfaces vigorously then it will last many days I believe.,POSITIVE
1145,Most likely bag wonderful and smart bagpacks NYC,Most likely bag wonderful and smart bagpacks NYC,POSITIVE
1146,Good product but a Little high pricing,Good product but a Little high pricing,POSITIVE
1147,The bag is so beautiful in colour and design as shown in the Amazon site. I have bought it at discounted price and much happy with the product.,The bag is so beautiful in colour and design as shown in the Amazon site. I have bought it at discounted price and much happy with the product.,POSITIVE
1148,Nice and smooth bag good A++++++++,Nice and smooth bag good A++++++++,POSITIVE
1149,Thin quality product,Thin quality product,NEGATIVE
1150,Nice bag,Nice bag,POSITIVE
1151,There is no support at the bottom,There is no support at the bottom,NEGATIVE
1152,College purpose,College purpose,POSITIVE
1153,Good product  ...,Good product  .,POSITIVE
1154,The bag is very lightweight and has a good volume for students who want to travel between hostel and home with minimal amount of luggage. Ideal for use as a college bag too :).,The bag is very lightweight and has a good volume for students who want to travel between hostel and home with minimal amount of luggage. Ideal for use as a college bag too :).,NEGATIVE
1155,"Didn't expect this from AT.Poor product quantity, yes it's light weight but the build material is not good. This product doesn't lon g last if you use it daily.","Didn't expect this from AT. Poor product quantity, yes it's light weight but the build material is not good. This product doesn't lon g last if you use it daily.",NEGATIVE
1156,There was no rain cover bag for this item as was in the description which was essentially bought for rainy season,There was no rain cover bag for this item as was in the description which was essentially bought for rainy season,NEGATIVE
1157,Poor as it says water rapilant but its not..,Poor as it says water rapilant but its not.,NEGATIVE
1158,Did not get a chance to check if it's water resistant or not. But seems product quality is good.,Did not get a chance to check if it's water resistant or not. But seems product quality is good.,NEGATIVE
1159,Bag quality is not as good as the price it come with,Bag quality is not as good as the price it come with,NEGATIVE
1160,Good product...Light weight quality is good ...Space is too good and sporty looking,Good product. Light weight quality is good . Space is too good and sporty looking,POSITIVE
1161,Better Quality.,Better Quality.,POSITIVE
1162,I feel nervous....when I buy this bag....bcoz online shopping is worst in quality....but now am happy for buy this bag.,I feel nervous. when I buy this bag. bcoz online shopping is worst in quality. but now am happy for buy this bag.,NEGATIVE
1163,"The thing is good according to the price , but if laptop slot is present that's will better","The thing is good according to the price , but if laptop slot is present that's will better",POSITIVE
1164,I like it so much,I like it so much,POSITIVE
1165,The bag is good,The bag is good,POSITIVE
1166,Easy to carry lots of space,Easy to carry lots of space,POSITIVE
1167,Cheap Material,Cheap Material,NEGATIVE
1168,Good Bag For School And Normally users,Good Bag For School And Normally users,POSITIVE
1169,Nice quality and superb back,Nice quality and superb back,POSITIVE
1170,"Light weight,Suitable for College students as well as casual travelling.","Light weight,Suitable for College students as well as casual travelling.",POSITIVE
1171,I bought at a very good price from amazon,I bought at a very good price from amazon,POSITIVE
1172,Quality is not good and size is very smsll,Quality is not good and size is very smsll,NEGATIVE
1173,Like this product.,Like this product.,POSITIVE
1174,Today you Deliver to us.After using i can give review how is it.But everything looks so good.Hope it will last longer than any other.,Today you Deliver to us. After using i can give review how is it. But everything looks so good. Hope it will last longer than any other.,POSITIVE
1175,Nice Product,Nice Product,POSITIVE
1176,"It's very light, comfortable and water proof","It's very light, comfortable and water proof",POSITIVE
1177,1) Quality was not upto the mark.2) It is for lite usage but I actually bought for college purpose.3) Look and feel is like lower quality plastic bag.It won't be upto an American tourister brand expectations.,1) Quality was not upto the mark.2) It is for lite usage but I actually bought for college purpose.3) Look and feel is like lower quality plastic bag. It won't be upto an American tourister brand expectations.,NEGATIVE
1178,best product,best product,POSITIVE
1179,Amazon is best to sold bags. I like that it was good quality,Amazon is best to sold bags. I like that it was good quality,POSITIVE
1180,Strong stitched joints even after handling heavy load of books..,Strong stitched joints even after handling heavy load of books.,POSITIVE
1181,The design is a sort of sticker which started coming off very soon,The design is a sort of sticker which started coming off very soon,NEGATIVE
1182,It is amazing and i received the product at right time and the quality is amazing.,It is amazing and i received the product at right time and the quality is amazing.,POSITIVE
1183,It's not a water resistant. Light weight bag. Material is fully polyester.Made in China. Bought for 849.ok for this price. It's not having laptop pouch.,It's not a water resistant. Light weight bag. Material is fully polyester. Made in China. Bought for 849. ok for this price. It's not having laptop pouch.,NEGATIVE
1184,Very bad  stitching and bad shapes,Very bad  stitching and bad shapes,NEGATIVE
1185,Grey print started peeling off after 2 weeks of usage..Not recommended for school/college use,Grey print started peeling off after 2 weeks of usage. Not recommended for school/college use,NEGATIVE
1186,Nice bag on Average for daily uses,Nice bag on Average for daily uses,POSITIVE
1187,I like it,I like it,POSITIVE
1188,"It's a good quality bag for multi-purpose uses, for daily uses and for travel purpose, I am very much satisfied with this product😊","It's a good quality bag for multi-purpose uses, for daily uses and for travel purpose, I am very much satisfied with this product😊",POSITIVE
1189,Good product,Good product,POSITIVE
1190,"Material is good , colour is descent ,light weigt","Material is good , colour is descent ,light weigt",POSITIVE
1191,"useless product..They sent a duplicate useless bag...they will ruin American tourister brand name..the product is not original,,dont buy it...I have returned the product....","useless product. They sent a duplicate useless bag. they will ruin American tourister brand name. the product is not original,,dont buy it. I have returned the product.",NEGATIVE
1192,Bad,Bad,NEGATIVE
1193,All over it is good  but  the colour  of the bag is little light . must buy,All over it is good  but  the colour  of the bag is little light . must buy,POSITIVE
1194,Good,Good,POSITIVE
1195,It is a great bag,It is a great bag,POSITIVE
1196,Good,Good,POSITIVE
1197,"Casual use, Nice look and very light weight.","Casual use, Nice look and very light weight.",POSITIVE
1198,Not that mush strong  and quality product,Not that mush strong  and quality product,NEGATIVE
1199,Very good quality..,Very good quality.,POSITIVE
1200,Fabric looks good. But it is bad quality product.,Fabric looks good. But it is bad quality product.,POSITIVE
1201,Don't buy this product. Worst quality.  Refer photos attached. Side water bottle  pockets  worn out in 2 months.,Don't buy this product. Worst quality.  Refer photos attached. Side water bottle  pockets  worn out in 2 months.,NEGATIVE
1202,"Nice color, nice quality.","Nice color, nice quality.",POSITIVE
1203,👍,👍,POSITIVE
1204,"The bag is very.built good. Quality is also very good. But gotto be maintained properly. Later on the grey pattern you get some light marks,if the bag is folded or something. Overall it's dam good. Good for college boys. Good for rough use And stuff. You can buy it after all it's American Tourister","The bag is very. built good. Quality is also very good. But gotto be maintained properly. Later on the grey pattern you get some light marks,if the bag is folded or something. Overall it's dam good. Good for college boys. Good for rough use And stuff. You can buy it after all it's American Tourister",POSITIVE
1205,Company should improve the quality. It feels so cheap . In the segment the less priced bags were also better than this bag,Company should improve the quality. It feels so cheap . In the segment the less priced bags were also better than this bag,NEGATIVE
1206,Average,Average,POSITIVE
1207,Good bag.It becomes  a big filled when you keep the books or other things in the first two chains but if you keep every book on the last chain it looks slim enough.It feels a bit bulky too. But overall it's good!,Good bag. It becomes  a big filled when you keep the books or other things in the first two chains but if you keep every book on the last chain it looks slim enough. It feels a bit bulky too. But overall it's good.,POSITIVE
1208,Good product,Good product,POSITIVE
1209,Yes,Yes,POSITIVE
1210,"Its a freaking Normal backpack (nothing special) with decent space enough for 2-3days outdoor outing. The bag isi it waterproof at all, i tested itmy self and the water  passed through the material inside the compartment. This annoyed me the most as it doesn't comes with a rain cover. The material used is not that much exceptionally good also. Feels delicate.upon touch. Not sure of its endurance limit alsoI loved this brand but this bag with that much amount doesn't deserve to be invested with.","Its a freaking Normal backpack (nothing special) with decent space enough for 2-3days outdoor outing. The bag isi it waterproof at all, i tested itmy self and the water  passed through the material inside the compartment. This annoyed me the most as it doesn't comes with a rain cover. The material used is not that much exceptionally good also. Feels delicate. upon touch. Not sure of its endurance limit alsoI loved this brand but this bag with that much amount doesn't deserve to be invested with.",NEGATIVE
1211,Total all is good loved the bag,Total all is good loved the bag,POSITIVE
1212,Its a average quality bag  apart from the brand name nothing is good about it,Its a average quality bag  apart from the brand name nothing is good about it,NEGATIVE
1213,Seems like a cheap product. Feel is not like American Tourister. Price is less but still brand value is not there.,Seems like a cheap product. Feel is not like American Tourister. Price is less but still brand value is not there.,NEGATIVE
1214,Awesome productThank u so much..,Awesome productThank u so much.,POSITIVE
1215,Fine and quick deliverd,Fine and quick deliverd,POSITIVE
1216,Nice,Nice,POSITIVE
1217,Awesome,Awesome,POSITIVE
1218,Good,Good,POSITIVE
1219,It's material not like me i am not satisfied with,It's material not like me i am not satisfied with,NEGATIVE
1220,It doesn't have rain cover.,It doesn't have rain cover.,POSITIVE
1221,"Average quality product, i am astonished to know that big brands are also producing this kind of quality...","Average quality product, i am astonished to know that big brands are also producing this kind of quality.",POSITIVE
1222,Not to good,Not to good,NEGATIVE
1223,Best go for it.,Best go for it.,POSITIVE
1224,Very super...quick delivery,Very super. quick delivery,POSITIVE
1225,This is not water proof so take care of water,This is not water proof so take care of water,NEGATIVE
1226,My old backpack wildcraft is not good but American toriuster super bag....,My old backpack wildcraft is not good but American toriuster super bag.,NEGATIVE
1227,its good but the material is not as expected,its good but the material is not as expected,POSITIVE
1228,It's quality is too worst,It's quality is too worst,NEGATIVE
1229,बैग की क्वालिटी उतनी अच्छी नहीं हैशायद यह फर्स्ट कॉपी है अमेरिकन टूरिस्टर की,बैग की क्वालिटी उतनी अच्छी नहीं हैशायद यह फर्स्ट कॉपी है अमेरिकन टूरिस्टर की,POSITIVE
1230,400 se jayada ka nhi h 1000 jayada le rhe h aur original bhi nhi h,400 se jayada ka nhi h 1000 jayada le rhe h aur original bhi nhi h,NEGATIVE
1231,nice productworth for money,nice productworth for money,POSITIVE
1232,Nice product,Nice product,POSITIVE
1233,V good guys,V good guys,POSITIVE
1234,"At this price point the bag is ok, but material is really bad and will fall apart with even light use. Not recommended for travel.","At this price point the bag is ok, but material is really bad and will fall apart with even light use. Not recommended for travel.",NEGATIVE
1235,As same as shown in the picture.,As same as shown in the picture.,POSITIVE
1236,Best travel bag with easy handling and light wait. Its worth to buy American tourister...,Best travel bag with easy handling and light wait. Its worth to buy American tourister.,POSITIVE
1237,It is good for lighter uses . But not so comfortable for heavy uses.,It is good for lighter uses . But not so comfortable for heavy uses.,POSITIVE
1238,no partition for laptop,no partition for laptop,NEGATIVE
1239,it's like nice quality and branded,it's like nice quality and branded,POSITIVE
1240,Liked the bag very much .Quality too is good,Liked the bag very much . Quality too is good,POSITIVE
1241,its superb,its superb,POSITIVE
1242,Nice quality & good for use,Nice quality & good for use,POSITIVE
1243,Amazing productThank you American tourister,Amazing productThank you American tourister,POSITIVE
1244,On the bag specifications it's written a rain cover will be provided. But that doesn't seem to be there?,On the bag specifications it's written a rain cover will be provided. But that doesn't seem to be there.,NEGATIVE
1245,Value for money please keep such proflducts for sell,Value for money please keep such proflducts for sell,NEGATIVE
1246,Top quality  bag for short distance traveling and office use.,Top quality  bag for short distance traveling and office use.,POSITIVE
1247,I have been using it from last one year and trust me guys it’s amazing.,I have been using it from last one year and trust me guys it’s amazing.,POSITIVE
1248,Best for kids,Best for kids,POSITIVE
1249,A nice cool backpack,A nice cool backpack,POSITIVE
1250,This bag has enough space to carry such things. Overall Excellent.,This bag has enough space to carry such things. Overall Excellent.,POSITIVE
1251,Nice product,Nice product,POSITIVE
1252,"I have never used AT bags, so wasn't aware of their style. I have always used skybags, they never fall short of excellent product. The material is thin, although there's lot of space in the bag. I am actually not happy with the quality of the product. May be they have designed it keeping in mind the space provided inside the bag. Overall it's a good product from AT.","I have never used AT bags, so wasn't aware of their style. I have always used skybags, they never fall short of excellent product. The material is thin, although there's lot of space in the bag. I am actually not happy with the quality of the product. May be they have designed it keeping in mind the space provided inside the bag. Overall it's a good product from AT.",POSITIVE
1253,I like this bag,I like this bag,NEGATIVE
1254,Good very nice,Good very nice,POSITIVE
1255,Best ever till now,Best ever till now,POSITIVE
1256,Ok,Ok,POSITIVE
1257,Good one go head,Good one go head,POSITIVE
1258,Its not upto the mark ...  its looking like a normal product having brand logo on it .. it doesn't worth 800 rupee,Its not upto the mark .  its looking like a normal product having brand logo on it . it doesn't worth 800 rupee,NEGATIVE
1259,Nice lightweight bag with enough compartments for use.,Nice lightweight bag with enough compartments for use.,POSITIVE
1260,Bought it for Rs.749/- worth for money.....Nice bag...,Bought it for Rs.749/- worth for money. Nice bag.,POSITIVE
1261,Light weight & stylish,Light weight & stylish,POSITIVE
1262,"Stitching quality was very bad, didn't rough used but the threads are already coming out.","Stitching quality was very bad, didn't rough used but the threads are already coming out.",NEGATIVE
1263,Worth for money. Very nice. But size is big for using as back bag in flight journey. So returned,Worth for money. Very nice. But size is big for using as back bag in flight journey. So returned,POSITIVE
1264,Product is very good. but I am not received any bill please send me the bill,Product is very good. but I am not received any bill please send me the bill,NEGATIVE
1265,"Product dilivery on time , but product cloth quality is not as mentioned in feature .","Product dilivery on time , but product cloth quality is not as mentioned in feature .",NEGATIVE
1266,Need to improve the quality of product,Need to improve the quality of product,POSITIVE
1267,Nice one,Nice one,POSITIVE
1268,Could have more capacity,Could have more capacity,POSITIVE
1269,Look wise nice but you can another brand with this price range you got better,Look wise nice but you can another brand with this price range you got better,POSITIVE
1270,Nice bag as per my daughter's experience. Lots of space & definitely value for money!!,Nice bag as per my daughter's experience. Lots of space & definitely value for money.,POSITIVE
1271,Bakwas bakwas quality,Bakwas bakwas quality,POSITIVE
1272,I am using for office work and casuals also,I am using for office work and casuals also,POSITIVE
1273,Light weight for travelling and spacious,Light weight for travelling and spacious,POSITIVE
1274,Super bag,Super bag,POSITIVE
1275,"It's a good bag , colors are very subtle and nice. It's a very good value for money , zipz , pockets , material everything is spot on.My son is going to use it as a school bag , he loved it and is excited to start his new session with this bag","It's a good bag , colors are very subtle and nice. It's a very good value for money , zipz , pockets , material everything is spot on. My son is going to use it as a school bag , he loved it and is excited to start his new session with this bag",POSITIVE
1276,"Good durable bag, but it's cost is somehow high","Good durable bag, but it's cost is somehow high",POSITIVE
1277,Very good at this price..Brilliant productOriginal brand,Very good at this price. Brilliant productOriginal brand,POSITIVE
1278,I got it for 550 rs and it is just awesome 😅😍 loved it so much. Actually a trusted brand always gives trusted product,I got it for 550 rs and it is just awesome 😅😍 loved it so much. Actually a trusted brand always gives trusted product,POSITIVE
1279,Super duper cool,Super duper cool,POSITIVE
1280,Product is good with classy looks...Have enough space for 3 days travel..Fabric should have been even better ...,Product is good with classy looks. Have enough space for 3 days travel. Fabric should have been even better .,POSITIVE
1281,School ke liye,School ke liye,POSITIVE
1282,"Good quality, delivery agent was very friendly,got it for 600 rupees.","Good quality, delivery agent was very friendly,got it for 600 rupees.",POSITIVE
1283,Nice,Nice,POSITIVE
1284,Good quality,Good quality,POSITIVE
1285,Thank you seller for send good product.,Thank you seller for send good product.,POSITIVE
1286,THE PERSON WHO RECEIVED THIS BAG (GIFT) NOT SATISFIED WITH QUALITY OF BAG AS COMPARED TO PRICE.HE TOLD ME THAT IN SUCH AMOUNT MORE GOOF BAG WILL AVAILABLE .,THE PERSON WHO RECEIVED THIS BAG (GIFT) NOT SATISFIED WITH QUALITY OF BAG AS COMPARED TO PRICE. HE TOLD ME THAT IN SUCH AMOUNT MORE GOOF BAG WILL AVAILABLE .,NEGATIVE
1287,Quality is so cheap even road side bags are better than this one.,Quality is so cheap even road side bags are better than this one.,NEGATIVE
1288,Quality is good ! Must buy 💯🥳,Quality is good . Must buy 💯🥳,POSITIVE
1289,It was good,It was good,POSITIVE
1290,"The stiches of the bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now","The stiches of the bag is started coming out in 6 months. Feel the cloth is of poor quality. how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now",NEGATIVE
1291,Very good👍,Very good👍,POSITIVE
1292,Good quality all round,Good quality all round,POSITIVE
1293,"Looking good, fit as per cost","Looking good, fit as per cost",POSITIVE
1294,Nice,Nice,POSITIVE
1295,Good quality 👌👌👌,Good quality 👌👌👌,POSITIVE
1296,"Good Quality ,orignal product ,","Good Quality ,orignal product ,",POSITIVE
1297,It's really good... Light weight and I hope it's durable... The material is really good 👍,It's really good. Light weight and I hope it's durable. The material is really good 👍,POSITIVE
1298,Bag is good. Only thing is it's not firm and gets bend easily,Bag is good. Only thing is it's not firm and gets bend easily,POSITIVE
1299,Bhed khubsurt,Bhed khubsurt,POSITIVE
1300,Good quality I'm very happy because shoping only 699₹,Good quality I'm very happy because shoping only 699₹,POSITIVE
1301,I quite liked d product completely satisfied with this bagPs- i chose this ahead of nike n adidas dt good ds product was,I quite liked d product completely satisfied with this bagPs- i chose this ahead of nike n adidas dt good ds product was,POSITIVE
1302,Good looking bag,Good looking bag,POSITIVE
1303,Water penetrate in heavy rain,Water penetrate in heavy rain,POSITIVE
1304,very nice bad... never thought of getting a branded bag at this price... really cool deal i met with! and its really lightweight.. doesnt feels cheap and has good carry space in it! a very good deal i will say!,very nice bad. never thought of getting a branded bag at this price. really cool deal i met with. and its really lightweight. doesnt feels cheap and has good carry space in it. a very good deal i will say.,NEGATIVE
1305,Looking original American Tourister Backpack.Size goodShape goodWater-resistant yesNot water proofThree compartments,Looking original American Tourister Backpack. Size goodShape goodWater-resistant yesNot water proofThree compartments,POSITIVE
1306,Quality ok,Quality ok,POSITIVE
1307,"The bag I excellent, but my god! It too almost 10 days for it to arrive...so disappointed in you amazon.","The bag I excellent, but my god. It too almost 10 days for it to arrive. so disappointed in you amazon.",NEGATIVE
1308,Nice bag,Nice bag,POSITIVE
1309,Very nice,Very nice,POSITIVE
1310,Nice product light weight and makes traveling comfortable,Nice product light weight and makes traveling comfortable,POSITIVE
1311,Nam hi kafi hai,Nam hi kafi hai,POSITIVE
1312,Super bag...thank u Amazon,Super bag. thank u Amazon,POSITIVE
1313,"I ordered this bag but a very bad experience,  quality of this  product is very bad","I ordered this bag but a very bad experience,  quality of this  product is very bad",NEGATIVE
1314,1 ya 2 day tours,1 ya 2 day tours,POSITIVE
1315,Highly recommend👍👍👍,Highly recommend👍👍👍,POSITIVE
1316,Good product,Good product,POSITIVE
1317,all good,all good,POSITIVE
1318,It's good,It's good,POSITIVE
1319,Like,Like,POSITIVE
1320,not satisfy  with quality.,not satisfy  with quality.,NEGATIVE
1321,Quality,Quality,POSITIVE
1322,Quality is very good,Quality is very good,POSITIVE
1323,"The media could not be loaded.
                



 Color of strap should be black","The media could not be loaded.
                



 Color of strap should be black",NEGATIVE
1324,It is so cool it is low weight and nice,It is so cool it is low weight and nice,POSITIVE
1325,The overall look is good but it is not recommended if you are in seach of something tough and strong. You have to stuff your things in with sufficient neatness for the bag to be in shape as the cloth is comparatively quiet thin.,The overall look is good but it is not recommended if you are in seach of something tough and strong. You have to stuff your things in with sufficient neatness for the bag to be in shape as the cloth is comparatively quiet thin.,NEGATIVE
1326,"I thought the quality would be great, but it isn't, no value for money","I thought the quality would be great, but it isn't, no value for money",NEGATIVE
1327,Quality of product traveling is good,Quality of product traveling is good,POSITIVE
1328,Different colours product delivered and bad quality of fabric,Different colours product delivered and bad quality of fabric,NEGATIVE
1329,Good,Good,POSITIVE
1330,Good for ofc gng purpose alap,Good for ofc gng purpose alap,POSITIVE
1331,"The media could not be loaded.
                



 Kya bataun mbbs student hu class travel dono ke liye mast chalega","The media could not be loaded.
                



 Kya bataun mbbs student hu class travel dono ke liye mast chalega",NEGATIVE
1332,"The bag is having issues like outer portion of the bag is getting broken,and water is getting inside,it's a very bad experience.","The bag is having issues like outer portion of the bag is getting broken,and water is getting inside,it's a very bad experience.",NEGATIVE
1333,Nice product,Nice product,POSITIVE
1334,"Quality is very poor, look like cheap, don't even think to buy","Quality is very poor, look like cheap, don't even think to buy",NEGATIVE
1335,This Bag Stuff Is Not Good But Bag Is Good Not bad,This Bag Stuff Is Not Good But Bag Is Good Not bad,NEGATIVE
1336,Good,Good,POSITIVE
1337,Pockets for keeping bottle are not that much good beacuse it got torn.  Overall the bag is good. Worth the money,Pockets for keeping bottle are not that much good beacuse it got torn.  Overall the bag is good. Worth the money,NEGATIVE
1338,"Light weight,looks superb ,very comfortable","Light weight,looks superb ,very comfortable",POSITIVE
1339,Good bag but design and build quality is not really attractive,Good bag but design and build quality is not really attractive,NEGATIVE
1340,Liked,Liked,POSITIVE
1341,AFTER 2 MONTHS USAGE SPOILED,AFTER 2 MONTHS USAGE SPOILED,NEGATIVE
1342,It's a good product for this price and also journey it's comfortable bag,It's a good product for this price and also journey it's comfortable bag,POSITIVE
1343,Not good quality fabric.but is good as American tourister make this type of bags only,Not good quality fabric. but is good as American tourister make this type of bags only,NEGATIVE
1344,"Very nice bag , material and all things all goodI years warranty with crad","Very nice bag , material and all things all goodI years warranty with crad",POSITIVE
1345,Value for money.,Value for money.,POSITIVE
1346,Quality is not good.,Quality is not good.,NEGATIVE
1347,This product is very good 💝 but I bought one bag of genie company also so I prefer that genie's bag quality is perfect than american tourist,This product is very good 💝 but I bought one bag of genie company also so I prefer that genie's bag quality is perfect than american tourist,POSITIVE
1348,I like this,I like this,POSITIVE
1349,Good,Good,POSITIVE
1350,"Its not up to expectation, but this is not ur fault, it is fault of being online that u cannot touch the material..it is made of","Its not up to expectation, but this is not ur fault, it is fault of being online that u cannot touch the material. it is made of",NEGATIVE
1351,It’s good but doesn’t have rain protection plate or ground level maintainer ... so good for school bags and short journeys,It’s good but doesn’t have rain protection plate or ground level maintainer . so good for school bags and short journeys,POSITIVE
1352,The quality is really bad. Looks and feels cheap. There are other bags in the same price range which are much better than this.,The quality is really bad. Looks and feels cheap. There are other bags in the same price range which are much better than this.,NEGATIVE
1353,Traveling,Traveling,POSITIVE
1354,Nice product 👍,Nice product 👍,POSITIVE
1355,Very nice product,Very nice product,POSITIVE
1356,Rain bag Cover not received,Rain bag Cover not received,NEGATIVE
1357,Awesome bag,Awesome bag,POSITIVE
1358,Product is good but as it not good in comparison to online picture shown..But practically it is different feeling product...,Product is good but as it not good in comparison to online picture shown. But practically it is different feeling product.,NEGATIVE
1359,Good and great design products.,Good and great design products.,POSITIVE
1360,It's really worth to buy,It's really worth to buy,POSITIVE
1361,It wastage of money. No space for laptop. I request for returned but no response from Amazon side.,It wastage of money. No space for laptop. I request for returned but no response from Amazon side.,NEGATIVE
1362,Very delicate material damaged within 2 days of use.,Very delicate material damaged within 2 days of use.,NEGATIVE
1363,"Would be better if it has adjustable clips in side,water bottle holder is too large and bottle jumping out while driving. Otherwise everything is good.","Would be better if it has adjustable clips in side,water bottle holder is too large and bottle jumping out while driving. Otherwise everything is good.",POSITIVE
1364,It is cost little higher,It is cost little higher,NEGATIVE
1365,Light weight,Light weight,POSITIVE
1366,Worth for money,Worth for money,POSITIVE
1367,I accept better from American tourister..But overall good product,I accept better from American tourister. But overall good product,POSITIVE
1368,"Good water resistant product. Because of light weight, durability  is not sure. But overall a good looking, water resistant product. Size is smaller. No separate hard  compartment for laptops, although 2 big  compartments are there.","Good water resistant product. Because of light weight, durability  is not sure. But overall a good looking, water resistant product. Size is smaller. No separate hard  compartment for laptops, although 2 big  compartments are there.",POSITIVE
1369,Ye orginal product nhi hai... American tourist itna poor quality ka bag nhi banata,Ye orginal product nhi hai. American tourist itna poor quality ka bag nhi banata,NEGATIVE
1370,All Good,All Good,POSITIVE
1372,Very good quality,Very good quality,POSITIVE
1373,"Awesome bag. Best for you if you are a student. Not good for traveling and stuff, but worth buying. Good for students above 13 years old","Awesome bag. Best for you if you are a student. Not good for traveling and stuff, but worth buying. Good for students above 13 years old",POSITIVE
1374,Good product,Good product,POSITIVE
1375,Very good product,Very good product,POSITIVE
1376,"We received bag today but it is regretted to inform you that bag is without rain cover,  however,  it was avialable with this bag.  So kindly send rain cover of the same","We received bag today but it is regretted to inform you that bag is without rain cover,  however,  it was avialable with this bag.  So kindly send rain cover of the same",NEGATIVE
1377,Quality,Quality,POSITIVE
1378,Lightweight good looking,Lightweight good looking,POSITIVE
1379,Money value producr,Money value producr,NEGATIVE
